Code station	Nom station	Secteur de la station	AASQA	Code ZAS	Nom ZAS	Type ZAS	Région	Code commune	Commune	Population commune	Unité urbaine	Population unité urbaine	Type unité urbaine	Latitude	Longitude	NO2	PM10	PM2.5	SO2	O3	C6H6	CO	As dans les  PM10	BaP dans les PM10	Cd dans les PM10	Ni dans les PM10	Pb dans les PM10
FR33101	PASTEUR	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR01	ZAR PAYS-DE-SAVOIE	ZAR	AUVERGNE-RHONE-ALPES	73065	CHAMBÉRY	58833	CHAMBÉRY	191924	agglomération	45,56472	5,928333	fond	fond	fond		fond							
FR33102	CHAMBERY LE HAUT	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR01	ZAR PAYS-DE-SAVOIE	ZAR	AUVERGNE-RHONE-ALPES	73065	CHAMBÉRY	58833	CHAMBÉRY	191924	agglomération	45,59667	5,918611	fond	fond			fond							
FR33105	Chambéry Trafic	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR01	ZAR PAYS-DE-SAVOIE	ZAR	AUVERGNE-RHONE-ALPES	73065	CHAMBÉRY	58833	CHAMBÉRY	191924	agglomération	45,56943	5,932986	trafic	trafic										
FR33111	SAINT JEAN	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZRE01	ZR AUVERGNE-RHONE-ALPES	ZRE	AUVERGNE-RHONE-ALPES	73248	SAINT-JEAN-DE-MAURIENNE	7683	SAINT-JEAN-DE-MAURIENNE	9331	agglomération	45,274723	6,349722	fond	fond		fond	fond							
FR33113	Maurienne Trafic	périurbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZRE01	ZR AUVERGNE-RHONE-ALPES	ZRE	AUVERGNE-RHONE-ALPES	73261	 SAINT-MICHEL-DE-MAURIENNE 	2466	 SAINT-MICHEL-DE-MAURIENNE 	2810	agglomération	45,209364	6,480326	trafic	trafic										
FR33120	CHAMONIX	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR03	ZAR VALLEE-DE-L-ARVE	ZAR	AUVERGNE-RHONE-ALPES	74056	 CHAMONIX-MONT-BLANC 	8648	 CHAMONIX-MONT-BLANC 	11624	agglomération	45,9225	6,87	fond	fond			fond							
FR33121	Albertville	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR04	ZAR VALLEE-DE-LA-TARANTAISE	ZAR	AUVERGNE-RHONE-ALPES	73011	 ALBERTVILLE 	19214	 ALBERTVILLE 	39780	agglomération	45,675	6,389722	fond	fond	fond		fond			fond		fond	fond	fond
FR33122	La Léchère	rurale près des villes	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR04	ZAR VALLEE-DE-LA-TARANTAISE	ZAR	AUVERGNE-RHONE-ALPES	73187	 LÉCHÈRE  	2634	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 73 	98551	rurale	45,53583	6,471111		industrielle							industrielle			
FR33201	LOVERCHY	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR01	ZAR PAYS-DE-SAVOIE	ZAR	AUVERGNE-RHONE-ALPES	74010	 ANNECY  	128199	 ANNECY 	177622	agglomération	45,89528	6,118333	fond	fond	fond		fond				fond			
FR33202	NOVEL	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR01	ZAR PAYS-DE-SAVOIE	ZAR	AUVERGNE-RHONE-ALPES	74010	 ANNECY  	128199	 ANNECY 	177622	agglomération	45,916943	6,135556	fond	fond			fond							
